nr,product,producer,person,reviewDate,title,text,language,rating1,rating2,rating3,rating4,publisher,publishDate
11,7,1,1,2007-09-30,'journalizing prearrange lusted smothered weirdies cliched pavans twitched uncage troublous twirp corruptibilities skeletomuscular appendages','blissfulness propositions sherbert flavour boozily eunuchoid overelaborating predeceasing carefuller bussed lions galatians joints jilting inhalations homiletics comforted sparable tongueless judgmental endocrinic locked menstruated biform parisians perusals oversells oinks overdramatizes ghostliness shapeless intervened fleetness bobbins tonsures denudate fruiterer handsbreadth frumpish raindrops sybaritic variabilities dissecting accommodation internally gobbles unroofs woolly blase kinder trephined polarimetry shinsplints rentals parochialism palmy registrations bruising infundibula disclaim psychosocial sextile perpendiculars reapplying stratifies tattooers experimenter hypothesizing alining lifesaving handles ranger krona noncancerous agonist blighters pended isolator glasswork ulcerative foehns beastliest swamies blandishers praised cuboidal snatched pebbly fuming cumulative cinching midbody mossbacks syncope pharyngectomies grievingly perpetrates immunology subdistinction articulating nastiest decadence spangliest sploshes misplacing caddied rcpt anathematize crafted hinting squelching interferers matched larkier flyby cannie hyperglycemia heightens drillers honorers flattered greasing experiencing blazes broacher undiplomatic','en',-1,-1,7,9,1,2008-02-19
12,3,1,1,2007-11-21,'expatriates colonials metabolized hormones unhooking reiterated hexapodies complimenting overhastiness cynicism sunbaked obtusely vies','inurn deacidified shewn dejects mocks chintz resowing unheard boasted potman householders mendelianist leaguing creditors tussocky intuitions overheat interorbital knavishness electrophoresed salines allogenic sawed anachronisms schmoe didoes dreaming intwisted remunerator sympathizer removes fearer wirepullers mincier thwarters throatiness pseudoscientifically intercalation anointers voyaging irradiations cognised demurrages equivalently unsticks subminiaturizing summating physiological supraorbital leakiest gunless oversea unproportionate fluidic nudeness poems seigniorial plosives polities restrictive tanglers polarimetries tracers casteism retested maleficent ceiler surmisable cooers administrated mensed autographs superimpose valuational angularity schlock dissemblingly cyclos delimiter brewers incidentally medicates touts reproaching etchings somnambulistic speared amniote christens cagers fixations berber unconcerned politely confessable vileness suburbias marguerites goatish stirrers ducking','en',1,10,-1,-1,1,2008-01-01
13,8,1,1,2008-04-04,'deathful shocks preappoints basinet achingly mignonette schnook','rampaged defects multinational dibbing preascertaining petalled uglifiers draughting immunes subtotaled campaigns petnapping competitors nimbly underscore influencing thiamines cryptically subdebutantes putters caucuses resiliently salaaming intersexualities plumpening freebooter bespreads methodologically paralyze thiabendazole stirs disproportions buckaroos hectograms timidness profanes detainee treys sanatory ungallant diapasons drunkometer boggiest provable dabbled frangibility rashes thoroughbreds mecums schussboomer misspell outmarches apprising underwriters precessing biting furnished retrogressing pretrial pulldown phantomlike tapeline hollies decorating widgets conformations environment ovately vibes manured ineptitude omnivorousness quintals lightfaced vivacities flights reinduced dithered prewashing semipetrified dualizing jerkers gabbled plummy corrupter persecuting arizonans flexes watercolors hagridden pragmatically trimness mites tiredly whitening oversights perfectas rungs toughy throatiest cutest pastorates socializers ohmage cameoed industries grides fascinating verbalizing gunwhale minsters glottises damnification thews fictionally sandpapered ironclad erasures frillers bailie thirteenths delinquencies tubbers wished warhorse dhotis tuppences whereat effuse premising folder subplots viscose deplorably chillness guarding fumigator fluorination asperities susurrus odeons shindigs electromotive supervision probation profited subsidiaries endeavored yarer unmapped bequeathal fumblers finesses momism jubilates rockworks instituter privater feelings nuthouse torched junto arbores quiverer mimeoed handfuls querns punty recounts pervading hottish pelted reembarking chunked griper videotapes anoint misinstructs precluded bullshit escarped','en',5,7,10,7,1,2008-05-17
14,3,1,1,2007-12-31,'pneumas inclusions jeeringly perforates fishlines midden nuggety overwhelm washrooms reframed uncannily beechiest solderer','remained clunking sententious nonproven recrowned communication resows armer mouldering untraveled hennaed decreasing threes pockily meantimes preventability facias possums garroter fatherhood addiction trowel tetra proctorship nickelodeons microanalytic impudently slumbering convalescents coamings laggards fops tendentiously temptingly undisputable requiescat allotments aerodromes brands twigs oppressed heavens immolation cutters biform caudated turbojets sacrilegiously midwifed betatrons tractably extravaganzas masculinization vadis hasenpfeffer nonreflective ululating heros priesthood deaconry unpolluted yachtswoman dimorphous attachments betake feticides hideless whippy renominated devolved elicitation uncontrolled tetryl finalisms barricaded debasement traditional mushes reinterpreting champions imagisms gawkish avatar bamboozler brassiest unobstructed bumpily drolling lucking disputer winks accommodating portending jauntier gripers dairymaid schnaps abreacting reexhibit latinized mucks reamer sibilates abscam segues southwesterly rectors potpies inconveniences screeners overslips transmigrating punkier housebreaking lutenists aerodynamically gumwood repousses pledging copers litterateurs declassing goldbricks burins scattered catalytically tapestries interpolated subcontinent teasels lycees proselytes droplets rebill remorsefully radiocast gallbladders quatrains lionize daintily biggings prechill pulpwood weaners ovoid productions lugubrious mainliner cafeterias lancelot seminally misnumbering countability preinstructs imbued prename goldbricker distributution propitiating flays quotably saltshaker misdescription cheesecakes subchief agitators redacts prosecutable succouring conglomerates undersell hungering cavorters hagride distension throwaways relinked nonenforceable tenuity siroccos mulled grippier','en',9,7,6,6,1,2008-03-26
15,5,1,1,2008-05-13,'cuss corned syne overbearingly bruin aurally dissembles sagged bloodstreams','metricize typecast bejeweling contaminations diagnosticians dyslectic ionising bonged humanistically hadjes nonviolence statutableness burbly cinques greaves restitutions empowering orientate bullocks rathskellers roofline cleated evangelize applauders fascisms steamily astrolabes bequests platy foreshadows saddletree tastelessly fulfillers autogyros wormhole restaffed enjoyably centrums slouched vindicative graphites firetrap slobbery checkroom implementing tything metropolises reinterrogating kitschy tootling borrowers trusses sited anatomically reinvestigations overdefensive frontlets coiffeuses haunters laboriousness hoorays orangier organically kneecaps reddle tempers suavest bibbery greaved expressions cockscombs pulpiest foremen mandalas brooches undesigning strayers pitiableness loginess impermanently surrejoinders semolina cathexes globing admitter cocomat retrievable homespuns baselines concisely penile clarifies euchred gladlier conveyable bluchers lovebirds smiths repentance fubbed inexpressibly autodialled depriving daymare lyrisms hounder snuffs obsoleting stamping demarking eradications supplely garrets fatheads sorghums ethics invalidated chaperons unpopular cowbells gadgeteers ejected displayed exterritoriality arcs pasteboards realignment nimrods stripings diffusers naiveties leafworms','en',4,10,10,3,1,2008-06-16
16,3,1,2,2007-07-03,'gulpers mathematicians townfolk preprocessing satori','tauter meadowsweets budgies tipcat flocky fervor vied elmier probates fenestration broomsticks condoles anesthetically parked effervesced supports ampuls palpating dirtier droning letches stickpins toepieces acromegalic fakers skyjackers nucleates legation plastics cauldrons askings untraceable asininity crockeries sweating mammalia bitted peristalsis pillowcase unpalatable desisting usherettes fists totals ransomer reunion semidry webs guardians tapes dupes humanism disinfecting profaned cruzeiros candelabrum storybook valors knappers vested pistachios tribadic rockfalls javelins diagrammer modernization obfuscates macrames','ja',9,8,10,7,1,2007-08-15
17,6,1,2,2008-03-14,'obeisances sociologist uncomfortableness disputants waterloos shoos jesters failed thumper corruptions circularness plotters niggarded','jerkers helmeted vegetates zoopathology forkedly rounder affirmer commentate ricks stapedes consignees erogenous permutationists oftest coiler quotationally temperaments barracudas interrelatedness sudors airmails mattedly belongs cyprians peruser antiacid exfoliate onery arrowheads veinings forehandedly infirms joisted resemblances electroplated parlours sighting uninvitingly shirks pastellist stuffiest melancholiac prepossesses catchiest yawls druidess seamount hunger conventicles exploded rankness modelled classicist sanity basketries denaturants mellowly filtering taring touted tollgatherer procreated rived healthily thraves noncasual squirmiest unmitigated stigmatized interviewed rehanging thighbone sniping bioastronautics magmatic freebooted americanize windages clack flanges sorts pickets caftan blubbers curliest sentences limo coveter spokeswoman pixie scurrility uploadable amplifiable postmarking sparkling affaires irrigator turbidities sunup samoans commingled sloths torrider venezuelan jeweling lozenges reexported reconfiguration reglues gamer amazons dimmable ramblers frizzy dobies enameler cabling checkering annulet synapsis laborings patsies maceraters transforming woolmen baldric eminently catenas nightjars beshrew unseen overhurried detesting steadily strabismally communists refunded rostrums regressors luaus chocked physiologists unhip psychoneurotic rattlers chlorates rears trolleys outreaching certificating tumbling garoting judaica occults alcalde sadhus hermaphroditic preestablish thinkers abandoning noter hayrick agapeic gallimaufry pickwickian chining benchmarks corrodibility reservers motorbuses capacities canonizes striating gelees upstages sinker silences yogas heroizes maximite ainus classifier','ja',10,9,3,1,1,2008-05-27
18,4,1,2,2008-02-08,'botanists footboards tinworks blockading saccharification quern stylers madcaps warlords acquiesced predator nehemiah leaving','physiologist prologued kakistocracies staled shaggiest helve dozening freeholder prodder commenting bushed catnaper commits slathers cesurae elfins finagles gloats buffer sapphism momentums shriekier encrypts selectees simmered reproductions homeroom greeting bogles muggily eternizes researchers necrophilous pressurize ambiences icecap congealed slues jams vivaciousness pinched consumes apprenticing hrs clonally jabot hiatuses entoiling aleuron deponing disfunction affirmance envisioned tangibles limitless vulcanizes extractive sprawls stockcars invisibly tantalization inofficial brownier coalhole fellate demolitionist uprousing handbooks canonistic irades dominantly requiems inspirationally tissuey sonatinas uncivilly grouped scalper chestier essayer blent optimisms woodworker foresighted nabobisms auriform recooks jaywalks corders resubscription lifts indorsees polios deregulations misogynistic beneficiaries dimming owns oceanarium lordship peacher raga bluecap blockbusters commending wifehood chivvied acquirers cozie reprice delist palmistry buncos scrubbers souped outlaw exurb swerves malteds prelimiting icily grainers musclebound hellfires wrecking engrained characterized physics bolting snatchers polishing disapprobation clanging demagnetize hosed disjuncts ceiling slits disposer finochios restuffed unlearning conjunctiva exulted exploitations surgeons babies roistered wides medicated youthfully boarder','ja',3,7,-1,3,1,2008-03-25
19,3,1,2,2007-08-17,'brailed premieres hedgerow demagoguery elastically kooky','vermouths fleecy fidgeters roentgenometry airheads swallowing complots bumpering promisee mooting creations cubby fanfarons remunerativeness wencher interceder probating philologist hypothetically climatal warranted accenting hypoergic deliberating strep histing empathic deliquesces augurs autonomies menservants dwindles youthens nonresidents hotfoot demolished hitchhikers bellyful bicarbs farces bailment draggling gonadial rebus teetotals consummately pillorying matchboxes declinature synergist gustation peddling subtractions momentums stockjobbing susurruses democratizing moistened nethermost revenued snuffily aqueously politely spectre genitors unprofitably determinants carbides entertainment imploded numerated unpremeditated remuneratively phantasmagories thanatoid interlarded preceptress northwards nonconductor invalidating chilliest interned rustlers unaging henbit motiveless dialectal electrification whacks hearthsides bluecoats hydroxides gimbals rehire oversevere penuriously topographies wealthier nonages ambushing shadowless rumoring explanted enterer bucklers unconditional overbid chronological puffers couths fighting bronzing slenderly pacifier handbooks brutalness honors heeders liter unwrap enhanced lieutenancies tektites hawkeys latherer undefeated interlocutors oared','ja',9,4,3,4,1,2008-02-06
20,4,1,2,2007-11-12,'bunkhouse inconsistences ataxic litigiosity analog phototropic soubriquet ennui wolverines unabsolved unwoven elaborately','alphabetically bluebottle gnoses activists titillation brooms romanized obtuseness backbit sawteeth lyrisms prebendary tenoning unstates rockaby emulsifier reinterpreting impersonates grievers batistes humiliation citer crossbones treasures carful weighman pitchmen saddlers seignorage blurter bluffing rulable urogram anybodies churchly subtitle receded hexes balladry spoils rejoicers valuating gonococcus smitheries unconsecrated unalarming gelatins impregnation sulphas warhorse surcharges conjuring antihypertensive forged nubilities ichthyologist relegable dibbed studier trickers dramatize perpendicularly misdoing trameling solacers misanthropists gulden stoneworks unstableness penuriously minatory throatily counteraction amnesiac changers eructation kist polyvinyl gimbaled violists elastomeric valuator beautifiers unfulfilled cloudlike servicers longly acetify pitiless dimmest tsars tappings chromatographically potholes sacrolumbar administrational trephines footlessness nondrinker honored fussier destructible wavelengths laconism decrypts values micrometer unsuccessfully threescore licit medicines intermediate leachers pourboires sharkers enwrapping limes jell consanguinity unshed hadronic snatcher titters bailsman sextuply simitar limitedness trailer vizors sunups typically avowably intercity bacchic ptomaines engrave resowed postured reprinting crustacea disadvantageousness exasperating faintest amortizable neology prizewinner gaveler inflicting harshened islanded outrages smasher ormolus revarnishes carelessness','ja',6,-1,3,-1,1,2008-05-13
21,8,1,2,2007-07-24,'pillaging demonstrativeness interweaves tastefully boondoggles pasteurizer mispronounces grafter tonsorial handlebars agglutinatively','simonists samurais oscillographic retractile spiritualizing typed falsetto quadruplications eructates remonstrates tightening rekindled glitches unstable posthypnotic garotes props accumulates authenticates hognuts chairladies gastropods luncher inflecting shalier spatulas symbiotes sirrahs plastered sudor nonbelligerents skyscrapers handbags staidest conglomerations boyos contraire gulfed adulates payable rauwolfia carbuncles zeniths copula impeachers router rejuvenated thankfully sp reshooting wintergreen chairmaned unled rumored joyfuller peonies fools behaves hygienical adaption roue weatherbound shat unfought miscarries preservers palatinates garths detaches longingly mortification crystallographic advances dews engraves skydived describer arsis footnoting leeched tweets coronachs kinesiology nightshirts aviates adjusted bats suppliers uneven cytologist tweezed feudalism betake boldfacing standouts smuggled longwise queened liberalness lastly rustier referenced digested victorianism unsticking nucleoplasmatic marmites ceaselessness vicarly centrism interoceanic foldable gnawings torridness signaling outgas unstressed chlorinators inefficacious californians biparty resales habitude prodding pointedness obdurateness undertrained parolees anchoring stylists proprieties agglutinatively wantons wigmaker','ja',2,6,5,-1,1,2008-02-01
22,8,1,2,2008-05-28,'fearfuller acutest arborize buffs intervenes spearing illness oxidizers lib triste','radiobroadcaster chronologically obediently recharters nonalignment earflaps sheikdom selfsame ploddingly melted blistered scepters ruiners haircaps unfittingly deposited devils pints heinies rejuvenated liberalized elevens fanworts bereavement jettied nonenforceable mezuzahs penalities feinting pleasantness demurely spooking prostration pesticides markets mineralized reddest brothy moderatorship fragged eighteens cesspools attackingly nets serologically supinates reallocate ridable deemphasizes lovers thole accoutring triangulates chewed ropier muggs magnetometer signorine thymy outdoes remittee foxskin outswims nonzero amassment kinswoman subplots rosewoods tunneling inconceivability individualities accursed unofficial lingers nonpredatory keelless underofficial nosegays finmark realignments fathoms reconsidered distended tenpin blacker homages forked witticisms regularized elopements casa renotifying ocurred glissandi marinas heteronomy boobs puerility drywalls tsarisms ringlets hulking unanswerable maestri psst antics secretory lickers dimmed tenty hypothyroids spottiness catastrophes pleas journals waterily segue crenelating focusers bawdier engilding demurest itemizes electorial prognosticators diversionist tinners demonstrably basicity sogginess acidifiable assagai marathons woodsy offcut','ja',7,8,-1,-1,1,2008-06-14
23,3,1,2,2008-06-04,'tramlines primarily tmh valvar castigation disconsolately truckmen','jiujitsus pearlites jollied strolled grifter tabulable corders monkshoods welches ballasts sauna cockatrice taxed individualize wakeners hemlocks atopic felonries cogitative insolvencies feminacy querulousness mackinaws heatless whipcord exquisiteness hardhearted reencountering compensability unmagnified orogenic rassled unconstitutionally bucketful auditions integers emptor submergible boxings subjoin extrados scattiest bucktail tendencies sinner enervation bearable kindredless featherier docudrama embowelled voidances heisting feudally coquetries scrunched machree concerning owning instils goglets dredging thereunto ugliness boding micrometers unsettlement cabooses gamiest cuckold foursomes tableful asymptotically turgidity undisguised disbandments salver pediments reactors crapes flashcube asper conservable enfold crocheting biased lemonades polemicists collisions damnedest scuppered stigmatized constructively summarized chronicling semideserts thalidomide executorship homed resuscitators palanquins recidivous digestibility inarticulately autodidacts lychee wakeners teachings prescribable','ja',4,-1,10,-1,1,2008-06-12
24,9,1,2,2008-01-14,'slavishness muonic unencumbered horsepox vinegars templed spalls unstained panaceas radarscope finites flavored clavicles gibbered congealing','philatelist lugubrious unknots hummocky gonged flouring shuffled hadjees lightheartedly screecher botanists toughener airships gorgons gauziest hominoid mothered hooray nabs elucidations sandstones prelimit reinspect putoffs tiled dumbing kindnesses polystyrene bristlier godhood bulldozers engraves decomposed woolly rusted driftway crowsteps diluvion oceanology reconsecrating detoxicator unpretentiously playsuit dicotyledons malleably endocrinologies abstractly berobed cryotherapies cinematically admirably booting evolved threapers maimedness reinsuring hardening failingly indorsing griot misinformed tomahawks frills jehus squatters barbells pygmies mettles quadrics bowyer unstepping snitchers ultramicroscopic filibusterer virginity vivaciously suspenses unscrewing jinnee legalist boluses bustles adjudicature overstrain imbody twelvemos latticed hypoxic instructive','ja',5,10,-1,-1,1,2008-01-16
